Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL,Ballots
72,Nicholas,Dawson,Gonzaga DW,Gonzaga,WA,116.00,58.10,173.90,3.60,172.70,48.14,"W29,W29.1,L29.1,W28.8,W28.8,L29.1"
73,Jordan,Keller,West Georgia DK,West Georgia,GA,116.00,58.10,173.80,3.17,173.78,71.31,"W28.8,W29.1,W29,L28.6,L29.1,W29.2"
74,Jayden,Cunningham,Liberty CS,Liberty,VA,116.00,58.00,174.50,3.17,174.63,89.74,"W28.5,W29.1,L29,L30,W29,L28.9"
75,Nikki,Raman,Georgetown RG,Georgetown,DC,116.00,58.00,174.20,3.17,174.02,25.38,"L28.9,W28.9,W29.1,L29,L29,W29.3"
76,Ashley,Wright,George Mason WR,George Mason,VA,116.00,58.00,174.20,3.00,174.22,99.37,"W29.3,L28.9,W29.1,W28.9,L29.1,W28.9"
77,Ethan,Harris,Kansas HW,Kansas,KS,116.00,58.00,174.00,3.33,174.26,67.13,"W29.1,W28.8,L29,L29,28.9,L29.2"
78,Sanjith,Geevarghese,Emory GY,Emory,GA,116.00,58.00,173.90,3.17,174.32,64.01,"W29.2,L29.1,W29.1,W28.7,L28.9,W28.9"
79,Adrian,Sendejas,UTD KS,UTD,TX,116.00,58.00,173.90,3.00,173.60,19.07,"W28.7,L29.2,W28.9,L28.8,L29.2,W29.1"
80,Jay,Fuchs,George Mason DF,George Mason,VA,115.90,58.10,173.80,3.00,173.85,51.48,"W29.1,L29.3,W29,L28.7,L28.6,W29.1"
81,Buck,Arney,Northwestern AL,Northwestern,IL,115.90,58.00,174.00,3.50,174.52,98.19,"W29,L28.6,W28.8,W29.5,L29.1,W29"
82,cole,wolfe,Wake Forest BW,Wake Forest,NC,115.90,58.00,173.80,3.17,173.86,13.92,"W29,W28.7,L29,L29.2,W28.9,W29"
83,Mira,Baba,Michigan BS,Michigan,MI,115.90,58.00,173.80,3.00,174.20,44.58,"L29.2,L28.7,W28.5,W29,L29.4,W29"
84,Ethan,Tai,Emory TR,Emory,GA,115.90,58.00,173.70,2.83,172.40,82.26,"L28.8,L29.1,W28.9,L29.2,W28.6,L29.1"
85,Charlie,Hale,UTD HR,UTD,TX,115.90,57.90,173.90,3.50,173.54,74.62,"W28.8,W29,L29.3,L28.9,W29.2,L28.7"
86,Eshkar,Kaidar-Heafetz,West Georgia FK,West Georgia,GA,115.80,58.00,173.80,2.83,173.77,64.22,"W29,L28.6,L28.7,W29.1,L29,W29.4"
87,Tommy,Ouyang,Northwestern MO,Northwestern,IL,115.80,57.90,174.20,2.83,173.84,85.22,"L29,L28.7,W28.9,W29,L29.7,W28.9"
88,Zach,Willingham,Kansas WW,Kansas,KS,115.80,57.90,174.00,3.67,174.28,71.85,"W28.6,W28.9,W29,L28.9,L29,W29.6"
89,Anna,Stockstill,Kentucky RS,Kentucky,KY,115.80,57.90,173.80,3.50,173.84,31.06,"L29,W28.6,W29.2,W29.4,L28.9,L28.7"
90,Ephraim,Bennett,Michigan State BS,Michigan State,MI,115.80,57.80,173.60,2.67,173.67,22.49,"L28.7,W29.1,L28.9,W28.9,L28.9,W29.1"
91,Eric,Pelletier,James Madison PC,James Madison,VA,115.80,57.80,173.00,2.83,172.81,1.55,"W28.9,L28.9,L28.1,W29.1,L28.9,W29.1"
92,Rishi,Shetty,Michigan ShSi,Michigan,MI,115.73,58.00,173.76,3.50,173.25,55.55,"L29.2,W28.8,W29,L29,L28.8"
93,Destiny,Hale,Wake Forest HS,Wake Forest,NC,115.70,57.90,174.00,3.17,173.64,54.67,"W28.8,L29.8,L28.7,W29.1,W29.1,L28.5"
94,Omar,Darwish,Baylor DB,Baylor,TX,115.70,57.90,173.60,3.17,173.63,15.31,"L29,W29.1,W28.7,L28.7,L28.9,L29.2"
95,Justin,Sayoto,Wake Forest HS,Wake Forest,NC,115.70,57.80,174.00,3.17,173.67,33.04,"W28.6,L29.7,L28.8,W29,W29.3,L28.6"
96,Michael,Greenberg,Georgetown RG,Georgetown,DC,115.70,57.80,173.60,3.17,173.12,67.35,"L28.8,W28.8,W29,L29.1,L28.8,W29.1"
97,Nico,Neal,Missouri State CN,Missouri State,MO,115.70,57.80,173.60,2.67,173.00,84.61,"L28.8,W29,L28.9,W28.9,W29.1,L28.9"
98,Truman,Connor,Navy CR,Navy,MD,115.70,57.80,173.40,2.83,173.57,16.05,"L28.9,W28.9,W28.9,L29.4,L29,W28.3"
99,Claire,Ain,Kansas AB,Kansas,KS,115.70,57.80,173.20,2.83,173.16,72.36,"L28.7,W29.1,L28.3,W29.2,L29.2,W28.7"
100,Wheezy,Ervin,Kentucky AE,Kentucky,KY,115.70,57.80,172.80,3.17,173.82,28.97,"L28.8,W29,L29.1,W28.8,L29.2,L27.9"
101,Annabeth,Lundberg,Northwestern AL,Northwestern,IL,115.60,57.80,173.70,3.50,173.93,62.62,"W28.9,L28.7,W28.7,W29.4,L28.9,W29.1"
102,Hina,Shehzad,Michigan State BS,Michigan State,MI,115.60,57.80,173.60,2.67,173.60,83.67,"L28.8,W29,L28.6,W28.8,L29,W29.4"
103,Adhitya,Ravikumar,Emory TR,Emory,GA,115.60,57.80,173.40,2.83,172.06,88.77,"L29,L29,W28.8,L29.1,W28.7,L28.8"
104,Mahintha,Karthik,UTD KS,UTD,TX,115.60,57.80,173.20,3.00,172.54,24.93,"W28.5,L29.1,W29,L28.9,L28.9,W28.8"
